1,   1.00         -0.00               -0.00                  -0.00                                            NaCoO2                     
2,"   0.95          0.05              -90.05                 -73.37             Na4GeO4, Na3CoO3, Na2SO4, Na3PO4, CoO                     "
3,"   0.85          0.15             -280.10                -225.52              Na4GeO4, Na3CoO3, Co, Na2SO4, Na3PO4                     "
4,"   0.85          0.15             -286.45                -230.43            Na10Co4O9, Na4GeO4, Co, Na2SO4, Na3PO4                     "
5,"   0.84          0.16             -304.16                -243.87              Na4GeO4, Co, Na6S2O9, Na2SO4, Na3PO4                     "
6,"   0.79          0.21             -345.59                -269.36                 Na4GeO4, Co, Na2S, Na2SO4, Na3PO4                     "
7,"   0.58          0.42             -474.32                -319.46              Na4GeO4, Co9S8, Na2S, Na2SO4, Na3PO4                     "
8,"   0.56          0.44             -485.89                -323.15              Na2GeO3, Co9S8, Na2S, Na2SO4, Na3PO4  Mutual Rxn. E. Min."
9,"   0.48          0.52             -505.35                -313.35             Co9S8, Na6Ge2S7, Na2S, Na2SO4, Na3PO4                     "
10,"   0.41          0.59             -505.83                -288.57             Na6Ge2S7, Na2S, Na3PO4, Na2SO4, Co3S4         Rxn. E. Min."
11,"   0.39          0.61             -504.37                -279.40                Na6Ge2S7, Na2S, Na3PO4, Co3S4, NaS                     "
12,"   0.32          0.68             -492.99                -243.70               Na6Ge2S7, Na2S, Na3PSO3, Co3S4, NaS                     "
13,"   0.24          0.76             -465.47                -185.96             Co3S4, Na6Ge2S7, Na2S, Na3P(SO)2, NaS                     "
14,"   0.14          0.86             -429.98                -111.92               Na3PS3O, Na6Ge2S7, Na2S, Co3S4, NaS                     "
15,"   0.00          1.00             -368.95                   0.00                            Na6Ge2S7, Na2S, Na3PS4                     "

17,   1.00          0.00               -0.00                   0.00                                       NaCrO2                     
18,"   0.51          0.49             -290.91                -110.06              Cr2O5, NaCrS2, Na2S, Na3PO4, Ge                     "
19,"   0.39          0.61             -359.29                -134.32               Na2S, Na3PO4, Na6Ge2S7, NaCrS2  Mutual Rxn. E. Min."
20,"   0.32          0.68             -372.41                -123.12              Na2S, Na3PSO3, Na6Ge2S7, NaCrS2                     "
21,"   0.24          0.76             -375.34                 -95.83            Na3P(SO)2, Na2S, Na6Ge2S7, NaCrS2                     "
22,"   0.14          0.86             -378.70                 -60.64              Na3PS3O, Na2S, Na6Ge2S7, NaCrS2         Rxn. E. Min."
23,"   0.00          1.00             -368.95                  -0.00                       Na3PS4, Na2S, Na6Ge2S7                     "

25,     1.00          -0.00               -0.00                  -0.00                                               Na2FePO4F                     
26,"     0.74           0.26             -134.19                 -37.10                       FeS2, FeP, Na4P2O7, NaF, FeS, GeS                     "
27,"     0.72           0.28             -144.03                 -39.22                  FeS2, FeP, Na4P2O7, NaF, Na2Ge2S5, FeS                     "
28,"     0.69           0.31             -154.78                 -40.91                   FeS2, FeP, Na2GeS3, Na4P2O7, NaF, FeS                     "
29,"     0.66           0.34             -165.41                 -41.28              FeS2, FeP, Na6Ge2S7, Na2GeS3, Na4P2O7, NaF  Mutual Rxn. E. Min."
30,"     0.62           0.38             -180.89                 -40.07              FeS2, FeP, Na6Ge2S7, Na3PS3O, Na4P2O7, NaF                     "
31,"     0.21           0.79             -319.48                 -28.97            FeS2, FeP, Na6Ge2S7, Na3PS3O, NaF, Na3P(SO)2                     "
32,"     0.19           0.81             -328.18                 -28.00                  FeS2, FeP, Na6Ge2S7, Na3PS3O, NaF, FeS                     "
33,"     0.15           0.85             -336.41                 -23.74                     Na6Ge2S7, Na3PS4, Na3PS3O, NaF, FeS                     "
34,"     0.00           1.00             -368.95                   0.00                                  Na6Ge2S7, Na3PS4, Na2S         Rxn. E. Min."

36,     1.00          -0.00                0.00                  -0.00                                            Na2MnPO4F                     
37,"     0.18           0.82             -319.41                 -15.99            Na3PS3O, MnS, MnS2, NaF, Na2PS3, Na6Ge2S7  Mutual Rxn. E. Min."
