1,   1.00         -0.00                0.00                  -0.00                                            NaCoO2         
2,"   0.95          0.05              -75.65                 -73.45             CoO, Na3CoO3, Na2SO4, Na4GeO4, Na3PO4         "
3,"   0.85          0.15             -232.83                -225.61              Co, Na3CoO3, Na2SO4, Na4GeO4, Na3PO4         "
4,"   0.85          0.15             -237.93                -230.51            Co, Na10Co4O9, Na2SO4, Na4GeO4, Na3PO4         "
5,"   0.84          0.16             -251.94                -243.96              Co, Na6S2O9, Na2SO4, Na4GeO4, Na3PO4         "
6,"   0.79          0.21             -279.54                -269.45                 Co, Na2S, Na4GeO4, Na3PO4, Na2SO4         "
7,"   0.58          0.42             -340.07                -319.57              Na2S, Na2SO4, Na4GeO4, Co9S8, Na3PO4         "
8,"   0.56          0.44             -344.81                -323.27              Na2GeO3, Na2S, Co9S8, Na3PO4, Na2SO4  Minimum"
9,"   0.48          0.52             -338.80                -313.38             Na2S, Na2SO4, Na6Ge2S7, Co9S8, Na3PO4         "
10,"   0.41          0.59             -316.84                -288.07             Co3S4, Na2S, Na2SO4, Na6Ge2S7, Na3PO4         "
11,"   0.39          0.61             -308.72                -278.93                Co3S4, NaS, Na2S, Na6Ge2S7, Na3PO4         "
12,"   0.32          0.68             -276.31                -243.31               Co3S4, NaS, Na2S, Na6Ge2S7, Na3PSO3         "
13,"   0.24          0.76             -222.67                -185.67             Na3P(SO)2, Co3S4, NaS, Na2S, Na6Ge2S7         "
14,"   0.14          0.86             -153.86                -111.75               Co3S4, NaS, Na2S, Na3PS3O, Na6Ge2S7         "
15,"   0.00          1.00              -48.84                   0.00                            Na3PS4, Na2S, Na6Ge2S7         "

17,   1.00          0.00                0.00                   0.00                                       NaCrO2         
18,"   0.39          0.61             -164.49                -134.71               Na3PO4, NaCrS2, Na2S, Na6Ge2S7  Minimum"
19,"   0.32          0.68             -156.45                -123.44              Na2S, NaCrS2, Na3PSO3, Na6Ge2S7         "
20,"   0.24          0.76             -133.08                 -96.07            Na3P(SO)2, Na2S, NaCrS2, Na6Ge2S7         "
21,"   0.14          0.86             -102.88                 -60.77              Na2S, NaCrS2, Na3PS3O, Na6Ge2S7         "
22,"   0.00          1.00              -48.84                  -0.00                       Na2S, Na3PS4, Na6Ge2S7         "
    
24,     1.00          -0.00               -0.00                  -0.00                                               Na2FePO4F                     
25,"     0.74           0.26              -50.12                 -37.26                       FeP, Na4P2O7, NaF, GeS, FeS, FeS2                     "
26,"     0.72           0.28              -53.25                 -39.38                  FeP, NaF, Na4P2O7, FeS, FeS2, Na2Ge2S5                     "
27,"     0.69           0.31              -56.22                 -41.14                   FeP, NaF, Na4P2O7, FeS, FeS2, Na2GeS3                     "
28,"     0.66           0.34              -57.97                 -41.54              FeP, NaF, Na4P2O7, Na6Ge2S7, FeS2, Na2GeS3  Mutual Rxn. E. Min."
29,"     0.62           0.38              -58.96                 -40.31              FeP, NaF, Na4P2O7, Na6Ge2S7, FeS2, Na3PS3O                     "
30,"     0.21           0.79              -67.51                 -29.05            Na3P(SO)2, FeP, NaF, Na6Ge2S7, FeS2, Na3PS3O                     "
31,"     0.19           0.81              -67.77                 -28.02                  FeP, NaF, FeS, Na6Ge2S7, FeS2, Na3PS3O         Rxn. E. Min."
32,"     0.15           0.85              -65.09                 -23.70                     NaF, FeS, Na3PS4, Na6Ge2S7, Na3PS3O                     "
33,"     0.00           1.00              -48.84                   0.00                                  Na2S, Na6Ge2S7, Na3PS4                     "

35,     1.00          -0.00               -0.00                  -0.00                                            Na2MnPO4F         
36,"     0.18           0.82              -56.16                 -15.99            Na6Ge2S7, Na3PS3O, Na2PS3, MnS2, MnS, NaF  Minimum"
37,"     0.15           0.85              -56.04                 -14.64                  Na6Ge2S7, Na3PS4, Na3PS3O, MnS, NaF         "
38,"     0.04           0.96              -52.34                  -5.60              Na6Ge2S7, Na3PS4, Na3PS3O, Na6MnS4, NaF         "
39,"     0.00           1.00              -48.84                   0.00                               Na6Ge2S7, Na2S, Na3PS4         "
  
41,      1.00           -0.00               -0.00                  -0.00                                           Na3V2(PO4)3                     
42,"      0.79            0.21              -58.19                 -47.87                   VS2, Na4P2O7, V3S4, V4GeS8, NaVP2O7                     "
43,"      0.73            0.27              -71.19                 -57.87                  VS2, Na5P3O10, Na4P2O7, V3S4, V4GeS8  Mutual Rxn. E. Min."
44,"      0.66            0.34              -73.99                 -57.27                VS2, Na5P3O10, Na4P2O7, V4GeS8, Na2PS3                     "
45,"      0.60            0.40              -75.49                 -55.99                Na2PS3, VS2, Na4P2O7, V4GeS8, Na2Ge2S5                     "
46,"      0.57            0.43              -75.90                 -55.06                 Na2GeS3, VS2, Na4P2O7, V4GeS8, Na2PS3                     "
47,"      0.52            0.48              -76.20                 -52.56                   Na2GeS3, VS2, Na4P2O7, V3S4, Na2PS3         Rxn. E. Min."
48,"      0.29            0.71              -75.61                 -40.73                  Na3PS3O, Na2GeS3, VS2, Na4P2O7, V3S4                     "
49,"      0.15            0.85              -74.09                 -32.61                 Na6Ge2S7, Na3PS3O, Na2GeS3, VS2, V3S4                     "
50,"      0.14            0.86              -73.43                 -31.33                  Na6Ge2S7, Na3PS3O, VS2, V3S4, Na2PS3                     "
51,"      0.12            0.88              -72.16                 -29.06                Na6Ge2S7, Na3VS4, Na3PS3O, VS2, Na2PS3                     "
52,"      0.11            0.89              -71.53                 -28.04            Na6Ge2S7, Na3VS4, Na3PS3O, Na2GeS3, Na2PS3                     "
53,"      0.09            0.91              -69.52                 -25.12             Na6Ge2S7, Na3VS4, Na3PS3O, Na3PS4, Na2PS3                     "
54,"      0.00            1.00              -48.84                  -0.00                                Na2S, Na6Ge2S7, Na3PS4                     "
      
56,      1.00           -0.00                0.00                  -0.00                                                Na3V2P2O8F3                     
57,"      0.79            0.21              -43.81                 -33.72               Na5P3O10, VS2, V3S4, V4GeS8, NaVP2O7, Na3VF6                     "
58,"      0.76            0.24              -50.01                 -38.38                 Na5P3O10, VS2, V3S4, V4GeS8, NaPO3, Na3VF6                     "
59,"      0.71            0.29              -59.01                 -44.64                    Na5P3O10, VS2, V3S4, V4GeS8, NaPO3, NaF                     "
60,"      0.63            0.37              -64.92                 -47.01                  Na5P3O10, VS2, V4GeS8, Na2PS3, NaPO3, NaF                     "
61,"      0.57            0.43              -68.71                 -47.93                   GeS2, Na5P3O10, VS2, V4GeS8, Na2PS3, NaF  Mutual Rxn. E. Min."
62,"      0.55            0.45              -69.65                 -47.90               Na5P3O10, VS2, V4GeS8, Na2PS3, NaF, Na2Ge2S5                     "
63,"      0.49            0.51              -72.34                 -47.23                VS2, V4GeS8, Na2PS3, Na4P2O7, NaF, Na2Ge2S5                     "
64,"      0.43            0.57              -73.73                 -45.92                 VS2, Na2GeS3, V4GeS8, Na2PS3, Na4P2O7, NaF                     "
65,"      0.42            0.58              -73.87                 -45.48                   VS2, V3S4, Na2GeS3, Na2PS3, Na4P2O7, NaF                     "
66,"      0.19            0.81              -74.42                 -35.03                   NaF, VS2, V3S4, Na2GeS3, Na2PS3, Na3PS3O         Rxn. E. Min."
67,"      0.15            0.85              -72.74                 -31.35               Na6Ge2S7, Na3PS3O, VS2, Na2GeS3, Na2PS3, NaF                     "
68,"      0.13            0.87              -71.04                 -28.35            Na6Ge2S7, Na3PS3O, Na2GeS3, Na2PS3, Na3VS4, NaF                     "
69,"      0.08            0.92              -67.15                 -22.34             Na6Ge2S7, Na3PS3O, Na2PS3, Na3PS4, Na3VS4, NaF                     "
70,"      0.00            1.00              -48.84                  -0.00                                     Na6Ge2S7, Na2S, Na3PS4                     "
