0	NaMgF3    Mg2+	-0.061697381 -6.024216528	-16.09
4	Na3AlF6	  Al3+ -0.421022233	-6.138053326	-7.63
11	Na3ZrF7	  Zr4+ -0.595238962	-5.889984651	-24.21
5	Na2TiF6	  Ti4+ -1.115395341	-6.53627705	    -25.03
6	Na5Ga3F14 Ga3+ -1.761780556	-6.247134312	-34.96
1	NaZnF3	  Zn2+ -1.88400224	-6.049826536	-61.77
8	Na3InF6	  In3+ -1.889399655	-6.083689587	-30.5
10	Na2GeF6	  Ge4+ -2.073824745	-6.748486717	-39.05
				
14	Na3YCl6	Y3+ -0.51	-3.750841427	-85.12
20	NaErCl4	Er3+ -0.549283208	-4.211421392	-90.59
18	NaGdCl4	Gd3+ -0.605898805	-3.93404122	    -72.54
15	NaScCl4	Sc3+ -0.822925566	-3.764007872	-71.73
12	Na2MgCl4 Mg2+	-0.832711317	-3.764178109 -60.62
16	NaAlCl4	Al3+ -1.475870481	-4.225562477	-120.2
13	Na2ZnCl4 Zn2+	-1.785109563	-3.87420597	-16.29
17	NaGaCl4	 Ga3+ -2.028051465	-4.156666045	-40.86
19	Na3InCl6 In3+	-2.12489939	-4.055360415	-22.6
				
22	Na3YBr6	Y3+ -0.570905023	-3.3647406524	-75.53
26	Na3GdBr6 Gd3+	-0.58980055	-3.147406524	-65.16
23	Na3ScBr6 Sc3+	-0.818401043	-3.246526528	-67.23
24	NaAlBr4	 Al3+ -1.550994402	-3.449225265	-119.5
21	Na2ZnBr4 Zn2+	-1.726998171	-3.200340275	-13.42
25	NaGaBr4	Ga3+ -1.948216462	-3.392786712	-31.95
27	NaInBr4	In3+ -2.174719427	-3.147406524	-24.24
				
52	NaAlI4	Al3+ -1.569401864	-2.719941152	-130.92
51	Na3ScI6	Sc3+ -1.701927255	-2.529383225	-153.91
54	NaInI4	In3+ -1.910248576	-2.70314022	-10.13
				
35	NaGaO2	Ga3+ -0.20786592	-3.20926889	-15.3
37	NaInO2	In3+ -0.302156402	-2.947268215	-51.45
30	Na2Zn2O3 Zn2+	-0.43653184	-2.206537498	-146.64
39	Na2GeO3	Ge4+ -0.767020482	-3.171416859	-26.22
				
50	Na2ZrS3	Zr4+ -0.350193126	-1.914646695	-72.97
43	Na3AlS3	Al3+ -0.399371053	-1.927975312	-122.14
44	NaTiS2	Ti3+ -0.725179515	-1.393004863	-79.08
45	Na3GaS3	Ga3+ -0.771872099	-1.627635528	-36.99
41	Na2Zn2S3 Zn2+	-0.819709647	-1.61350269	-56.31
47	NaInS2	In3+ -1.105665832	-2.176560957	-3.82
49	Na2GeS3	Ge4+ -1.534255742	-2.047193665	-13.4
